RMSE,R2,coeff,,,Ave,,
,,,,,RMSE,R2,coeff
12.0742251,0.279271689,0.89977138,,,19.7975534,,
,,,,,,,
24.50710201,-1.481968115,0.76328592,,,,,
,,,,,,,
18.76869049,-1.02860691,0.832502573,,,,,
,,,,,,,
14.23832832,-0.766946753,0.595517457,,,,,
,,,,,,,
25.30238019,-0.914672501,0.809944879,,,,,
,,,,,,,
21.44589564,-0.300054824,0.93093772,,,,,
,,,,,,,
46.1597232,-5.022817202,-0.070469439,,,,,
,,,,,,,
15.80201255,0.293524211,0.77149842,,,,,
,,,,,,,
8.376910748,0.358708682,0.709766348,,,,,
,,,,,,,
11.30026572,0.673236758,0.923232043,,,,,
